CAR,NAME,NSQAR,CAR,CARINSEE,LAR,NSQCO,SURFACE,PERIMETRE,Geometry_X,Geometry_Y
3,Temple,750000003,3,3,3eme Ardt,750001537,1170882828,4519264,48.86287238,2.360000986
19,Buttes-Chaumont,750000019,19,19,19eme Ardt,750001537,6792651129,11253182,48.887076,2.38482096
14,Observatoire,750000014,14,14,14eme Ardt,750001537,5614877309,10317483,48.8292445,2.326542044
10,Entrepot,750000010,10,10,10eme Ardt,750001537,2891739442,6739375,48.87613004,2.360728488
12,Reuilly,750000012,12,12,12eme Ardt,750001537,16314782637,24089666,48.83497438,2.421324901
16,Passy,750000016,16,16,16eme Ardt,750001537,16372542129,17416110,48.86039211,2.261970788
11,Popincourt,750000011,11,11,11eme Ardt,750001537,3665441552,8282012,48.85905922,2.380058308
2,Bourse,750000002,2,2,2eme Ardt,750001537,991153745,4554104,48.86827922,2.342802547
4,Hotel-de-Ville,750000004,4,4,4eme Ardt,750001537,1600585632,5420908,48.85434143,2.35762962
17,Batignolles-Monceau,750000017,17,17,17eme Ardt,750001537,5668834504,10775580,48.88732652,2.306776991
18,Buttes-Montmartre,750000018,18,18,18eme Ardt,750001537,5996051308,9916464,48.89256927,2.34816052
1,Louvre,750000001,1,1,1er Ardt,750001537,1824612860,6054937,48.8625627,2.336443362
5,Pantheon,750000005,5,5,5eme Ardt,750001537,2539374623,6239195,48.84444315,2.35071461
7,Palais-Bourbon,750000007,7,7,7eme Ardt,750001537,4090057185,8099425,48.85617443,2.312187691
20,Menilmontant,750000020,20,20,20eme Ardt,750001537,5983446037,10704940,48.86346058,2.401188129
8,elysee,750000008,8,8,8eme Ardt,750001537,3880036397,7880533,48.87272084,2.312554022
9,Opera,750000009,9,9,9eme Ardt,750001537,2178303275,6471588,48.87716352,2.337457543
13,Gobelins,750000013,13,13,13eme Ardt,750001537,7149311091,11546547,48.82838803,2.36227244
15,Vaugirard,750000015,15,15,15eme Ardt,750001537,8494994081,13678798,48.84008538,2.292825822
6,Luxembourg,750000006,6,6,6eme Ardt,750001537,2153095586,6483687,48.84913036,2.332897999
