Postcode,District,Area
80000,Johor Bahru,Johor Bahru
81100,Johor Bahru,Bandar Dato' Onn
80200,Johor Bahru,Danga Bay
81100,Johor Bahru,Johor Jaya
81100,Johor Bahru,Desa Jaya
81100,Johor Bahru,Ehsan Jaya
80350,Johor Bahru,Larkin
81200,Johor Bahru,Tampoi
81100,Johor Bahru,Tebrau
81800,Johor Bahru,Ulu Tiram
79100,Iskandar Puteri,Bukit Indah
81550,Iskandar Puteri,Gelang Patah
79100,Iskandar Puteri,Horizon Hills
79050,Iskandar Puteri,Kota Iskandar
79250,Iskandar Puteri,Medini Iskandar
81300,Iskandar Puteri,Skudai
81550,Iskandar Puteri,Tanjung Kupang
81500,Iskandar Puteri,Ulu Choh
81750,Pasir Gudang,Bandar Seri Alam
81750,Pasir Gudang,Masai
81750,Pasir Gudang,Permas Jaya
81750,Pasir Gudang, Tanjung Langsat
