Postcode,District,Area
52100,Kepong,Jinjang
52100,Kepong,Taman Bukit Maluri
51200,Segambut,Bandar Menjalara
51200,Segambut,Bukit Kiara
51200,Segambut,Bukit Tunku
51200,Segambut,Damansara
51200,Segambut,Damansara Town Centre
51200,Segambut,Jalan Duta
51200,Segambut,Kampung Kasipillay
51200,Segambut,Kampung Sungai Penchala
51200,Segambut,Mont Kiara
51200,Segambut,Sri Hartamas
51200,Segambut,Taman Tun Dr Ismail
51000,Batu,Bandar Baru Sentul
51000,Batu,Sentul
53300,Wangsa Maju,Setapak
53300,Wangsa Maju,Taman Melati
53300,Wangsa Maju,Taman P. Ramlee
54200,Setiawangsa,Kampung Datuk Keramat
54200,Setiawangsa,Semarak
54200,Setiawangsa,Desa Tun Hussein Onn
53200,Titiwangsa,Ampang
53200,Titiwangsa,Jalan Cochrane
53200,Titiwangsa,Maluri
53200,Titiwangsa,Kampung Baru
53200,Titiwangsa,Kampung Pandan
50200,Bukit Bintang,KL Sentral
50200,Bukit Bintang,Bukit Nanas
50200,Bukit Bintang,Bukit Petaling
50200,Bukit Bintang,Chow Kit
50200,Bukit Bintang,Dang Wangi
50200,Bukit Bintang,Kampung Baru
50200,Bukit Bintang,KL City Centre
50200,Bukit Bintang,Medan Tuanku
50200,Bukit Bintang,Pudu
50200,Bukit Bintang,Salak South
50200,Bukit Bintang,Tun Razak Exchange
59100,Lembah Pantai,Bangsar
59100,Lembah Pantai,Bangsar South
59100,Lembah Pantai,Federal Hill
59100,Lembah Pantai,Kg Abdullah Hukum
59100,Lembah Pantai,Mid Valley City
59100,Lembah Pantai,Pantai Dalam
58000,Seputeh,Bandar Malaysia
58000,Seputeh,Bukit Jalil
58000,Seputeh,Bukit Petaling
58000,Seputeh,Happy Garden
58000,Seputeh,Kuchai Lama
58000,Seputeh,Sri Petaling
58000,Seputeh,Taman Desa
58000,Seputeh,Taman OUG
43200,Cheras,Alam Damai
43200,Cheras,Maluri
43200,Cheras,Pudu
43200,Cheras,Shamelin Perkasa
43200,Cheras,Taman Cheras Hartamas
43200,Cheras,Taman Connaught
43200,Cheras,Taman Midah
43200,Cheras,Taman Len Seng
43200,Cheras,Taman Taynton View
56000,Bandar Tun Razak,Bandar Sri Permaisuri
56000,Bandar Tun Razak,Bandar Tasik Selatan
56000,Bandar Tun Razak,Desa Petaling
56000,Bandar Tun Razak,Kampung Malaysia
56000,Bandar Tun Razak,Lake Fields
56000,Bandar Tun Razak,Sungai Besi
